city,country
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
Paris,FR
